"","Item name","Number for sale","Price of item (cents)","Price of item (conventional format)","Name of Game"
"710","Genuine Quadwrangler",128,157,"$1.57","Team Fortress 2"
"711","Genuine Marxman",77,196,"$1.96","Team Fortress 2"
"712","Genuine Area 451",141,49,"$0.49","Team Fortress 2"
"713","Genuine Point and Shoot",158,429,"$4.29","Team Fortress 2"
"714","Genuine Champ Stamp",131,120,"$1.20","Team Fortress 2"
"715","Genuine Huo-Long Heater",126,25,"$0.25","Team Fortress 2"
"716","Genuine Company Man",146,24,"$0.24","Team Fortress 2"
"717","Genuine Diamondback",139,50,"$0.50","Team Fortress 2"
"718","Genuine Mask of the Shaman",175,24,"$0.24","Team Fortress 2"
"719","Genuine Widowmaker",84,62,"$0.62","Team Fortress 2"
"720","Genuine Hitt Mann Badge",137,28,"$0.28","Team Fortress 2"
"721","Strange Festive Scattergun",13,3294,"$32.94","Team Fortress 2"
"722","Genuine Dread Knot",111,29,"$0.29","Team Fortress 2"
"723","Vintage Whoopee Cap",0,92,"$0.92","Team Fortress 2"
"724","Strange Silver Botkiller Flame Thrower Mk.I",151,50,"$0.50","Team Fortress 2"
"725","Strange Diamond Botkiller Minigun Mk.I",35,112,"$1.12","Team Fortress 2"
"726","Strange Silver Botkiller Medi Gun Mk.II",106,41,"$0.41","Team Fortress 2"
"727","Strange Rust Botkiller Knife Mk.I",148,57,"$0.57","Team Fortress 2"
"728","Strange Rust Botkiller Flame Thrower Mk.I",122,47,"$0.47","Team Fortress 2"
"729","Vintage Scottish Resistance",1045,8,"$0.08","Team Fortress 2"
"730","Vintage Axtinguisher",2363,8,"$0.08","Team Fortress 2"
"731","Vintage Killing Gloves of Boxing",2300,8,"$0.08","Team Fortress 2"
"732","Vintage Tyrant's Helm",175,123,"$1.23","Team Fortress 2"
"733","Strange Carbonado Botkiller Wrench Mk.I",136,69,"$0.69","Team Fortress 2"
"734","Genuine Sign of the Wolf's School",137,61,"$0.61","Team Fortress 2"
"735","Genuine Ball-Kicking Boots",50,230,"$2.30","Team Fortress 2"
"736","Strange Festive Bat",9,2458,"$24.58","Team Fortress 2"
"737","Genuine Last Straw",74,62,"$0.62","Team Fortress 2"
"738","Genuine Neon Annihilator",77,24,"$0.24","Team Fortress 2"
"739","Genuine Stahlhelm",272,23,"$0.23","Team Fortress 2"
"740","Genuine Pilotka",268,23,"$0.23","Team Fortress 2"
"741","Genuine Brain Bucket",180,25,"$0.25","Team Fortress 2"
"742","Genuine Dead Cone",191,25,"$0.25","Team Fortress 2"
"743","Genuine Companion Cube Pin",287,18,"$0.18","Team Fortress 2"
"744","Genuine Aperture Labs Hard Hat",137,124,"$1.24","Team Fortress 2"
"745","Genuine Deus Specs",129,97,"$0.97","Team Fortress 2"
"746","Strange Festive Buff Banner",38,408,"$4.08","Team Fortress 2"
"747","Strange Festive Axtinguisher",28,328,"$3.28","Team Fortress 2"
"748","Festive Grenade Launcher",146,62,"$0.62","Team Fortress 2"
"749","The Festive Sandvich",53,130,"$1.30","Team Fortress 2"
"750","The Festive Buff Banner",113,27,"$0.27","Team Fortress 2"
"751","The Festive Ambassador",78,134,"$1.34","Team Fortress 2"
"752","Genuine Killer Exclusive",135,168,"$1.68","Team Fortress 2"
"753","Genuine Nanobalaclava",157,48,"$0.48","Team Fortress 2"
"754","Genuine Three-Rune Blade",108,411,"$4.11","Team Fortress 2"
"755","Gift Wrap",384,25,"$0.25","Team Fortress 2"
"756","Operator's Overalls",70,132,"$1.32","Team Fortress 2"
"757","Drably Olive",109,46,"$0.46","Team Fortress 2"
"758","Strange Part: Heavies Killed",149,98,"$0.98","Team Fortress 2"
"759","Australium Gold",214,109,"$1.09","Team Fortress 2"
"760","Strange Part: Scouts Killed",25,308,"$3.08","Team Fortress 2"
"761","A Distinctive Lack of Hue",82,515,"$5.15","Team Fortress 2"
"762","Backpack Expander",208,106,"$1.06","Team Fortress 2"
"763","Zepheniah's Greed",68,53,"$0.53","Team Fortress 2"
"764","Specialized Killstreak Rocket Launcher",18,243,"$2.43","Team Fortress 2"
"765","Professional Killstreak Ham Shank",1,1147,"$11.47","Team Fortress 2"
"766","Specialized Killstreak Knife",1,374,"$3.74","Team Fortress 2"
"767","Professional Killstreak Jag Kit",9,1702,"$17.02","Team Fortress 2"
"768","Professional Killstreak Ubersaw Kit",14,901,"$9.01","Team Fortress 2"
"769","Strange Australium Axtinguisher",18,2021,"$20.21","Team Fortress 2"
"770","Vintage Specialized Killstreak Escape Plan",11,242,"$2.42","Team Fortress 2"
"771","Strange Specialized Killstreak Frontier Justice",9,214,"$2.14","Team Fortress 2"
"772","Vintage Killstreak Kritzkrieg",25,58,"$0.58","Team Fortress 2"
"773","Strange Killstreak Atomizer",9,100,"$1.00","Team Fortress 2"
"774","Specialized Killstreak Ambassador",11,198,"$1.98","Team Fortress 2"
"775","Strange Professional Killstreak Soda Popper",7,500,"$5.00","Team Fortress 2"
"776","Strange Professional Killstreak Knife",1,2795,"$27.95","Team Fortress 2"
"777","Specialized Killstreak Conscientious Objector",21,264,"$2.64","Team Fortress 2"
"778","Vintage Specialized Killstreak Gunslinger",7,225,"$2.25","Team Fortress 2"
"779","Professional Killstreak Sharp Dresser",12,762,"$7.62","Team Fortress 2"
"780","Strange Specialized Killstreak Flare Gun",13,339,"$3.39","Team Fortress 2"
"781","Strange Specialized Killstreak Silver Botkiller Wrench Mk.II",10,156,"$1.56","Team Fortress 2"
"782","Strange Specialized Killstreak Silver Botkiller Sniper Rifle Mk.II",16,283,"$2.83","Team Fortress 2"
"783","Strange Specialized Killstreak Silver Botkiller Sniper Rifle Mk.I",10,290,"$2.90","Team Fortress 2"
"784","Strange Killstreak Silver Botkiller Stickybomb Launcher Mk.II",13,96,"$0.96","Team Fortress 2"
"785","Festive Jarate",125,54,"$0.54","Team Fortress 2"
"786","Festive Gloves of Running Urgently",113,35,"$0.35","Team Fortress 2"
"787","Killstreak Festive Sniper Rifle",6,236,"$2.36","Team Fortress 2"
"788","Festive Wrangler",130,48,"$0.48","Team Fortress 2"
"789","Strange Festive Flare Gun",29,489,"$4.89","Team Fortress 2"
"790","Strange Festive Wrangler",51,239,"$2.39","Team Fortress 2"
"791","Strange Festive Sapper",14,644,"$6.44","Team Fortress 2"
"792","Festive Sapper",88,110,"$1.10","Team Fortress 2"
"793","Specialized Killstreak Festive Rocket Launcher",3,584,"$5.84","Team Fortress 2"
"794","Strange Killstreak Rust Botkiller Rocket Launcher Mk.I",24,140,"$1.40","Team Fortress 2"
"795","Strange Specialized Killstreak Gold Botkiller Sniper Rifle Mk.II",7,521,"$5.21","Team Fortress 2"
"796","Strange Killstreak Silver Botkiller Scattergun Mk.II",27,151,"$1.51","Team Fortress 2"
"797","Killstreak Festive Rocket Launcher",22,273,"$2.73","Team Fortress 2"
"798","Specialized Killstreak Festive Black Box",17,225,"$2.25","Team Fortress 2"
"799","Strange Specialized Killstreak Silver Botkiller Flame Thrower Mk.II",7,279,"$2.79","Team Fortress 2"
"800","Strange Professional Killstreak Machina",11,3160,"$31.60","Team Fortress 2"
"801","Strange Australium Knife",15,4646,"$46.46","Team Fortress 2"
"802","Professional Killstreak Gloves of Running Urgently",13,97,"$0.97","Team Fortress 2"
"803","Naughty Winter Crate 2013 Series #78",15451,3,"$0.03","Team Fortress 2"
"804","Strange Professional Killstreak Festive Axtinguisher",7,672,"$6.72","Team Fortress 2"
"805","Strange Killstreak Carbonado Botkiller Scattergun Mk.I",12,179,"$1.79","Team Fortress 2"
"806","Strange Specialized Killstreak Australium Knife",3,5015,"$50.15","Team Fortress 2"
"807","Strange Specialized Killstreak Carbonado Botkiller Minigun Mk.I",14,190,"$1.90","Team Fortress 2"
"808","Strange Specialized Killstreak Australium Grenade Launcher",16,3975,"$39.75","Team Fortress 2"
"809","Strange Killstreak Carbonado Botkiller Flame Thrower Mk.I",11,239,"$2.39","Team Fortress 2"
"810","Strange Killstreak Silver Botkiller Minigun Mk.II",18,142,"$1.42","Team Fortress 2"
"811","Killstreak Loose Cannon",107,39,"$0.39","Team Fortress 2"
"812","Killstreak Eviction Notice Kit",34,31,"$0.31","Team Fortress 2"
"813","Killstreak Baby Face's Blaster Kit",179,32,"$0.32","Team Fortress 2"
"814","Strange Killstreak L'Etranger",8,357,"$3.57","Team Fortress 2"
"815","Strange Killstreak Rocket Launcher",132,179,"$1.79","Team Fortress 2"
"816","Killstreak Eureka Effect Kit",36,62,"$0.62","Team Fortress 2"
"817","Strange Killstreak Eyelander",17,221,"$2.21","Team Fortress 2"
"818","Killstreak Detonator Kit",35,51,"$0.51","Team Fortress 2"
"819","Professional Killstreak Rainblower Kit Fabricator",42,15,"$0.15","Team Fortress 2"
"820","Strange Specialized Killstreak Grenade Launcher",29,338,"$3.38","Team Fortress 2"
"821","Strange Killstreak Loch-n-Load",22,105,"$1.05","Team Fortress 2"
"822","Killstreak Huo-Long Heater Kit",174,30,"$0.30","Team Fortress 2"
"823","Strange Blutsauger",140,35,"$0.35","Team Fortress 2"
"824","Strange Killstreak Tomislav",6,283,"$2.83","Team Fortress 2"
"825","Killstreak Spy-cicle Kit",83,37,"$0.37","Team Fortress 2"
"826","Strange Minigun",117,143,"$1.43","Team Fortress 2"
"827","Killstreak Rocket Launcher",84,82,"$0.82","Team Fortress 2"
"828","Strange Killstreak Beggar's Bazooka",27,103,"$1.03","Team Fortress 2"
"829","Specialized Killstreak Minigun Kit",23,416,"$4.16","Team Fortress 2"
"830","Strange Specialized Killstreak Boston Basher",6,300,"$3.00","Team Fortress 2"
"831","Strange SMG",115,29,"$0.29","Team Fortress 2"
"832","Killstreak Degreaser",40,115,"$1.15","Team Fortress 2"
"833","Strange Specialized Killstreak Minigun",11,397,"$3.97","Team Fortress 2"
"834","Strange Eyelander",94,55,"$0.55","Team Fortress 2"
"835","Vintage Killstreak Flare Gun",19,38,"$0.38","Team Fortress 2"
"836","Specialized Killstreak Gunslinger",8,219,"$2.19","Team Fortress 2"
"837","Professional Killstreak Jag Kit Fabricator",11,977,"$9.77","Team Fortress 2"
"838","Strange Force-A-Nature",128,57,"$0.57","Team Fortress 2"
"839","Strange Professional Killstreak Brass Beast",11,622,"$6.22","Team Fortress 2"
"840","Strange Axtinguisher",118,55,"$0.55","Team Fortress 2"
"841","Specialized Killstreak Sharp Dresser",67,304,"$3.04","Team Fortress 2"
"842","Strange Killstreak Crusader's Crossbow",22,337,"$3.37","Team Fortress 2"
"843","Killstreak Vaccinator",83,38,"$0.38","Team Fortress 2"
"844","Killstreak Revolver",155,40,"$0.40","Team Fortress 2"
"845","Killstreak Unarmed Combat",21,52,"$0.52","Team Fortress 2"
"846","Strange Killstreak Flare Gun",21,165,"$1.65","Team Fortress 2"
"847","Killstreak Three-Rune Blade",21,147,"$1.47","Team Fortress 2"
"848","Strange Specialized Killstreak Pomson 6000",7,292,"$2.92","Team Fortress 2"
"849","Killstreak Scattergun",74,89,"$0.89","Team Fortress 2"
"850","Specialized Killstreak Crusader's Crossbow",7,207,"$2.07","Team Fortress 2"
"851","Killstreak Conniver's Kunai",13,124,"$1.24","Team Fortress 2"
"852","Collector's Wrangler",3,1216,"$12.16","Team Fortress 2"
"853","Strange Specialized Killstreak Bat",9,172,"$1.72","Team Fortress 2"
"854","Specialized Killstreak Tomislav",11,291,"$2.91","Team Fortress 2"
"855","Specialized Killstreak Crusader's Crossbow Kit",15,202,"$2.02","Team Fortress 2"
"856","Killstreak Splendid Screen",43,92,"$0.92","Team Fortress 2"
"857","Strange Killstreak Natascha",13,84,"$0.84","Team Fortress 2"
"858","Strange Specialized Killstreak Loch-n-Load",29,133,"$1.33","Team Fortress 2"
"859","Strange Killstreak Knife",11,325,"$3.25","Team Fortress 2"
"860","Killstreak Stickybomb Launcher",31,57,"$0.57","Team Fortress 2"
"861","Professional Killstreak Sniper Rifle Kit Fabricator",4,3075,"$30.75","Team Fortress 2"
"862","Killstreak Short Circuit",10,92,"$0.92","Team Fortress 2"
"863","Killstreak Baby Face's Blaster",145,36,"$0.36","Team Fortress 2"
"864","Strange Killstreak Half-Zatoichi",21,145,"$1.45","Team Fortress 2"
"865","Strange Killstreak Revolver",31,65,"$0.65","Team Fortress 2"
"866","Strange Killstreak Ambassador",45,98,"$0.98","Team Fortress 2"
"867","Strange Killstreak Tribalman's Shiv",31,50,"$0.50","Team Fortress 2"
"868","Killstreak Force-A-Nature",15,73,"$0.73","Team Fortress 2"
"869","Specialized Killstreak Shotgun",9,230,"$2.30","Team Fortress 2"
"870","Killstreak Sharp Dresser",115,290,"$2.90","Team Fortress 2"
"871","Genuine Killstreak Ham Shank",31,69,"$0.69","Team Fortress 2"
"872","Vintage Killstreak Gunslinger",10,165,"$1.65","Team Fortress 2"
"873","Specialized Killstreak Market Gardener Kit",10,187,"$1.87","Team Fortress 2"
"874","Balloonihoodie",23,1441,"$14.41","Team Fortress 2"
"875","Puffy Polar Cap",170,21,"$0.21","Team Fortress 2"
"876","Strange Down Tundra Coat",40,72,"$0.72","Team Fortress 2"
"877","Unusual Puffy Polar Cap",27,2446,"$24.46","Team Fortress 2"
"878","Strange Melody Of Misery",19,86,"$0.86","Team Fortress 2"
"879","Strange Caribou Companion",50,50,"$0.50","Team Fortress 2"
"880","Strange Pocket Yeti",34,31,"$0.31","Team Fortress 2"
"881","Strange Puffy Polar Cap",51,28,"$0.28","Team Fortress 2"
"882","Hazard Warning War Paint (Minimal Wear)",10,77,"$0.77","Team Fortress 2"
"883","Forest Fire Mk.II Shortstop (Factory New)",9,50,"$0.50","Team Fortress 2"
"884","Specialized Killstreak Dragon Slayer Scattergun (Factory New)",2,658,"$6.58","Team Fortress 2"
"885","Bamboo Brushed Panic Attack (Minimal Wear)",4,38,"$0.38","Team Fortress 2"
"886","Strange Nutcracker Mk.II Sniper Rifle (Field-Tested)",7,139,"$1.39","Team Fortress 2"
"887","Dragon Slayer Rocket Launcher (Factory New)",43,196,"$1.96","Team Fortress 2"
"888","Masked Mender Mk.II Shahanshah (Field-Tested)",0,46,"$0.46","Team Fortress 2"
"889","Mannana Peeled Revolver (Field-Tested)",2,25,"$0.25","Team Fortress 2"
"890","Smalltown Bringdown Mk.II Jag (Well-Worn)",14,9,"$0.09","Team Fortress 2"
"891","Night Owl Mk.II Pistol (Field-Tested)",8,21,"$0.21","Team Fortress 2"
"892","Smalltown Bringdown Mk.II Jag (Minimal Wear)",8,23,"$0.23","Team Fortress 2"
"893","Dragon Slayer Scattergun (Factory New)",23,268,"$2.68","Team Fortress 2"
"894","Strange Bomber Soul War Paint (Minimal Wear)",3,699,"$6.99","Team Fortress 2"
"895","Hazard Warning Stickybomb Launcher (Field-Tested)",5,20,"$0.20","Team Fortress 2"
"896","Geometrical Teams War Paint (Minimal Wear)",16,43,"$0.43","Team Fortress 2"
"897","Strange Wild West Whiskers",19,88,"$0.88","Team Fortress 2"
"898","Strange Bomber Soul War Paint (Field-Tested)",2,314,"$3.14","Team Fortress 2"
"899","Strange Festivized Professional Killstreak Sandman",13,318,"$3.18","Team Fortress 2"
"900","Festivized Woodland Warrior Rocket Launcher (Field-Tested)",5,123,"$1.23","Team Fortress 2"
"901","Festivized Specialized Killstreak Spy-cicle",8,248,"$2.48","Team Fortress 2"
"902","Festivized Dragon Slayer Dragon's Fury (Factory New)",8,491,"$4.91","Team Fortress 2"
"903","Strange Festivized Killstreak Spy-cicle",6,411,"$4.11","Team Fortress 2"
"904","Festivized Killstreak Spy-cicle",9,200,"$2.00","Team Fortress 2"
"905","Strange Festivized Blitzkrieg Knife (Minimal Wear)",7,327,"$3.27","Team Fortress 2"
"906","Festivized Coffin Nail Rocket Launcher (Factory New)",4,199,"$1.99","Team Fortress 2"
"907","Festivized Flower Power Shotgun (Minimal Wear)",7,103,"$1.03","Team Fortress 2"
"908","Festivized Dragon Slayer Grenade Launcher (Factory New)",7,376,"$3.76","Team Fortress 2"
"909","Festivized Lightning Rod Shotgun (Field-Tested)",6,92,"$0.92","Team Fortress 2"
"910","Festivized Killstreak Airwolf Sniper Rifle (Field-Tested)",1,204,"$2.04","Team Fortress 2"
"911","Strange Sky High Fly Guy",49,30,"$0.30","Team Fortress 2"
"912","Blizzard Britches",43,161,"$1.61","Team Fortress 2"
"913","Veterans Attire",24,278,"$2.78","Team Fortress 2"
"914","Strange Sinner's Shade",90,30,"$0.30","Team Fortress 2"
"915","Strange Bloom Buffed Knife (Minimal Wear)",1,1725,"$17.25","Team Fortress 2"
"916","Unusual Head Hedge",28,2283,"$22.83","Team Fortress 2"
"917","Punk's Pomp",70,98,"$0.98","Team Fortress 2"
"918","The Cold Case",79,101,"$1.01","Team Fortress 2"
"919","Robin Walkers",32,521,"$5.21","Team Fortress 2"
"920","Unusual Starboard Crusader",7,8675,"$86.75","Team Fortress 2"
"921","Starboard Crusader",63,680,"$6.80","Team Fortress 2"
"922","Strange Festivized Dressed to Kill Shotgun (Field-Tested)",1,261,"$2.61","Team Fortress 2"
"923","Festivized Sandstone Special Pistol (Minimal Wear)",5,110,"$1.10","Team Fortress 2"
"924","Unusual Taunt: Surgeon's Squeezebox",12,2760,"$27.60","Team Fortress 2"
"925","Festivized Dressed to Kill Knife (Well-Worn)",6,111,"$1.11","Team Fortress 2"
"926","Strange Festivized Professional Killstreak Australium Stickybomb Launcher",2,6193,"$61.93","Team Fortress 2"
"927","Festivized Coffin Nail Rocket Launcher (Minimal Wear)",8,89,"$0.89","Team Fortress 2"
"928","Unusual Taunt: Luxury Lounge",11,2466,"$24.66","Team Fortress 2"
"929","Strange Festivized Killstreak Nutcracker Scattergun (Battle Scarred)",0,365,"$3.65","Team Fortress 2"
"930","Festivized Coffin Nail Shotgun (Battle Scarred)",0,96,"$0.96","Team Fortress 2"
"931","Specialized Killstreak Hot Hand Kit",8,290,"$2.90","Team Fortress 2"
"932","Polar Surprise Rescue Ranger (Factory New)",0,50,"$0.50","Team Fortress 2"
"933","Killstreak Nutcracker Mk.II Shotgun (Field-Tested)",0,1589,"$15.89","Team Fortress 2"
"934","Unusual Cabin Fevered Knife (Minimal Wear)",1,5549,"$55.49","Team Fortress 2"
"935","Festivized Killstreak Shahanshah",1,222,"$2.22","Team Fortress 2"
"936","Festivized Civil Servant Mk.II Bazaar Bargain (Minimal Wear)",1,39,"$0.39","Team Fortress 2"
"937","Geometrical Teams Soda Popper (Factory New)",0,12,"$0.12","Team Fortress 2"
"938","Jazzy Scattergun (Minimal Wear)",0,920,"$9.20","Team Fortress 2"
"939","Unusual Festivized King of the Jungle Minigun (Field-Tested)",1,4830,"$48.30","Team Fortress 2"
"940","Festivized Killstreak Corsair Scattergun (Battle Scarred)",0,219,"$2.19","Team Fortress 2"
"941","Strange Festivized Professional Killstreak Wrench",2,3976,"$39.76","Team Fortress 2"
"942","Strange Festivized Killstreak Australium Wrench",1,6217,"$62.17","Team Fortress 2"
"943","Unusual Taunt: The Skating Scorcher",12,3254,"$32.54","Team Fortress 2"
"944","Unusual Taunt: The Bunnyhopper",17,1983,"$19.83","Team Fortress 2"
"945","Strange Festivized Specialized Killstreak Iron Bomber",4,1177,"$11.77","Team Fortress 2"
"946","Strange Festivized Rescue Ranger",7,420,"$4.20","Team Fortress 2"
"947","Strange Festivized Specialized Killstreak Australium Minigun",4,5003,"$50.03","Team Fortress 2"
"948","Strange Festivized Killstreak Medi Gun",4,831,"$8.31","Team Fortress 2"
"949","Festivized Blitzkrieg Stickybomb Launcher (Minimal Wear)",3,119,"$1.19","Team Fortress 2"
"950","Festivized Nutcracker Scattergun (Field-Tested)",4,130,"$1.30","Team Fortress 2"
"951","Festivized Aqua Marine Rocket Launcher (Field-Tested)",9,87,"$0.87","Team Fortress 2"
"952","Festivized Spark of Life Medi Gun (Factory New)",13,200,"$2.00","Team Fortress 2"
"953","Festivized King of the Jungle Minigun (Factory New)",3,110,"$1.10","Team Fortress 2"
"954","Festivized Dragon Slayer Rocket Launcher (Factory New)",8,359,"$3.59","Team Fortress 2"
"955","Festivized Professional Killstreak Sniper Rifle",11,1389,"$13.89","Team Fortress 2"
"956","Festivized Specialized Killstreak Minigun",1,272,"$2.72","Team Fortress 2"
"957","Festivized Brain Candy Pistol (Factory New)",7,198,"$1.98","Team Fortress 2"
"958","Festivized Dressed to Kill Shotgun (Field-Tested)",5,138,"$1.38","Team Fortress 2"
"959","Unusual Taunt: The Skating Scorcher Unusualifier",8,2785,"$27.85","Team Fortress 2"
"960","Festivized Killstreak Night Terror Scattergun (Field-Tested)",6,165,"$1.65","Team Fortress 2"
"961","Festivized Shot in the Dark Sniper Rifle (Field-Tested)",7,99,"$0.99","Team Fortress 2"
"962","Cabin Fevered Bazaar Bargain (Minimal Wear)",2,163,"$1.63","Team Fortress 2"
"963","Unusual Burning Question",7,5558,"$55.58","Team Fortress 2"
"964","Unusual Sky High Fly Guy",35,2150,"$21.50","Team Fortress 2"
"965","Unusual Frag Proof Fragger",10,6997,"$69.97","Team Fortress 2"
"966","Strange Starboard Crusader",17,1203,"$12.03","Team Fortress 2"
"967","Strange Frag Proof Fragger",12,295,"$2.95","Team Fortress 2"
"968","Strange Punk's Pomp",18,225,"$2.25","Team Fortress 2"
"969","Strange Veterans Attire",14,649,"$6.49","Team Fortress 2"
"970","Unusual Punk's Pomp",6,8376,"$83.76","Team Fortress 2"
"971","Killstreak Hot Hand Kit",12,111,"$1.11","Team Fortress 2"
"972","Specialized Killstreak Dragon's Fury Kit Fabricator",20,120,"$1.20","Team Fortress 2"
"973","Killstreak Dragon's Fury Kit",12,152,"$1.52","Team Fortress 2"
"974","Strange Hot Case",31,180,"$1.80","Team Fortress 2"
"975","Strange Burning Question",13,195,"$1.95","Team Fortress 2"
"976","Strange Wipe Out Wraps",18,133,"$1.33","Team Fortress 2"
"977","Strange Antarctic Eyewear",13,75,"$0.75","Team Fortress 2"
"978","The Frag Proof Fragger",73,118,"$1.18","Team Fortress 2"
"979","Strange Tsar Platinum",29,247,"$2.47","Team Fortress 2"
"980","Festivized Night Owl Sniper Rifle (Factory New)",14,145,"$1.45","Team Fortress 2"
"981","Festivized Flower Power Medi Gun (Factory New)",6,170,"$1.70","Team Fortress 2"
"982","Festivized Killstreak Autumn Rocket Launcher (Minimal Wear)",1,1000,"$10.00","Team Fortress 2"
"983","Festivized Shot to Hell Scattergun (Field-Tested)",13,110,"$1.10","Team Fortress 2"
"984","Festivized Killstreak Woodland Warrior Rocket Launcher (Field-Tested)",1,216,"$2.16","Team Fortress 2"
"985","Festivized King of the Jungle Minigun (Field-Tested)",8,70,"$0.70","Team Fortress 2"
"986","Festivized Woodland Warrior Rocket Launcher (Factory New)",11,245,"$2.45","Team Fortress 2"
"987","Festivized Killstreak Kritzkrieg",6,273,"$2.73","Team Fortress 2"
"988","Festivized High Roller's Rocket Launcher (Field-Tested)",8,100,"$1.00","Team Fortress 2"
"989","Festivized Specialized Killstreak Flash Fryer Flame Thrower (Factory New)",3,920,"$9.20","Team Fortress 2"
"990","Strange Festivized Professional Killstreak Spy-cicle",13,774,"$7.74","Team Fortress 2"
"991","Strange Festivized Professional Killstreak Scottish Resistance",12,498,"$4.98","Team Fortress 2"
"992","Strange Festivized Specialized Killstreak Grenade Launcher",7,1106,"$11.06","Team Fortress 2"
"993","Strange Festivized Specialized Killstreak Rocket Launcher",5,676,"$6.76","Team Fortress 2"
"994","Strange Festivized Professional Killstreak Australium Scattergun",8,9742,"$97.42","Team Fortress 2"
"995","Strange Festivized Professional Killstreak Australium Rocket Launcher",6,12496,"$124.96","Team Fortress 2"
"996","Strange Festivized Sandman",24,133,"$1.33","Team Fortress 2"
"997","Strange Festivized Specialized Killstreak Australium Sniper Rifle",4,6878,"$68.78","Team Fortress 2"
"998","Strange Festivized Specialized Killstreak Knife",5,724,"$7.24","Team Fortress 2"
"999","Festivized Flash Fryer Flame Thrower (Minimal Wear)",8,164,"$1.64","Team Fortress 2"
"1000","Festivized Stabbed to Hell Knife (Minimal Wear)",9,185,"$1.85","Team Fortress 2"
